prediction;test_price
28.56;29.27
28.45;29.41
28.48;29.48
28.61;29.5
28.54;29.48
28.48;29.46
28.53;27.77
28.58;28.74
28.32;28.85
28.14;28.49
28.05;28.29
28.01;28.84
27.96;28.89
28.11;29.11
28.15;28.84
28.03;28.7
28.04;28.21
28.0;28.3
27.93;28.35
27.97;28.2
27.66;28.6
27.45;28.85
27.69;29.51
27.86;29.64
28.08;29.36
28.23;29.55
28.23;29.08
28.24;28.72
28.45;28.85
28.32;28.89
28.03;28.92
27.89;29.3
28.16;29.06
28.21;29.29
28.21;29.29
28.39;29.36
28.42;29.02
28.48;29.09
28.46;29.13
28.42;29.38
28.36;29.49
28.33;29.3
28.46;29.3
28.59;29.6
28.55;29.43
28.72;29.29
28.81;29.64
28.72;29.51
28.75;29.35
28.76;29.35
28.7;29.76
28.51;29.95
28.55;29.95
28.7;30.08
28.87;30.26
29.02;30.67
29.13;30.31
29.22;29.95
29.4;30.26
29.36;30.19
29.29;30.16
29.35;30.21
29.35;30.2
29.33;30.22
29.41;30.57
29.46;30.43
29.54;30.61
29.62;30.07
29.54;30.23
29.49;29.86
29.62;30.13
29.55;29.74
29.41;29.57
29.34;29.95
29.32;29.59
29.33;29.29
29.28;28.75
29.08;28.7
28.9;28.68
28.77;28.16
28.57;28.83
28.29;29.16
28.13;29.69
28.16;29.81
28.28;30.0
28.51;29.51
28.65;29.51
28.63;29.46
28.61;29.4
28.73;29.4
28.61;29.58
28.5;29.21
28.54;29.46
28.49;29.79
28.45;29.81
28.53;29.89
28.62;29.77
28.65;29.74
28.81;29.25
28.75;29.33
28.61;29.56
28.7;29.66
28.7;29.75
28.74;29.93
28.81;29.86
29.02;29.75
29.06;29.64
29.13;30.23
29.22;29.99
29.19;30.15
29.04;29.41
29.04;29.12
28.95;29.35
28.83;28.48
28.85;29.2
28.75;29.65
28.56;29.26
28.6;29.6
28.7;29.82
28.59;29.59
28.76;28.48
28.86;28.62
28.53;28.69
28.39;27.93
28.32;27.37
27.99;28.12
27.82;28.2
27.78;28.4
27.73;28.73
27.69;28.97
27.68;28.62
27.68;29.23
27.71;29.21
27.91;28.65
28.02;29.25
27.85;28.89
27.85;29.0
28.05;29.46
27.93;29.38
28.11;29.7
28.4;28.99
28.29;28.96
28.48;28.9
28.46;29.1
28.02;28.93
28.01;28.96
28.25;28.81
28.08;29.84
28.02;29.83
28.34;29.38
28.61;29.86
28.66;29.62
28.81;29.4
29.06;29.79
28.9;29.52
28.78;29.68
28.9;29.9
28.83;30.01
28.85;29.96
29.14;30.12
28.9;30.61
28.89;30.44
29.42;30.59
29.36;30.45
29.43;30.22
29.44;30.61
29.35;30.33
29.5;30.22
29.63;30.53
29.56;30.02
29.55;29.18
29.66;29.93
29.51;30.11
29.32;30.26
29.41;29.73
29.46;29.67
29.22;29.93
29.2;29.59
29.2;29.89
29.12;29.17
29.24;29.27
29.1;29.24
28.91;29.41
28.92;28.91
28.84;29.02
28.65;28.26
28.56;27.63
28.48;28.49
28.14;27.5
27.78;27.96
27.64;28.07
27.42;26.97
27.51;27.23
27.47;27.19
26.87;27.48
26.71;26.96
26.98;27.38
26.69;28.21
26.7;28.32
26.92;28.61
26.74;28.52
27.04;28.26
27.17;28.57
27.21;28.54
27.29;28.6
27.3;28.22
27.3;27.71
27.24;28.16
27.37;28.58
27.32;28.8
27.2;28.78
27.3;28.81
27.49;28.14
27.6;28.2
27.76;28.74
27.72;29.0
27.51;28.63
27.88;28.29
27.97;28.28
27.89;28.16
27.88;27.78
27.83;27.72
27.85;27.16
27.75;27.18
27.55;26.64
27.27;26.31
26.83;26.76
26.57;26.45
26.48;26.48
26.48;26.04
26.35;26.02
25.96;25.1
25.85;24.87
25.64;24.53
25.48;24.88
25.33;25.5
24.92;25.02
24.62;25.62
24.64;25.12
24.66;25.66
24.65;26.03
24.73;26.75
24.75;26.96
24.84;26.23
24.97;27.48
25.04;27.67
25.36;28.02
25.65;27.85
25.87;27.94
26.12;28.6
26.3;28.19
26.63;28.34
26.72;28.08
26.93;28.42
27.03;28.15
27.15;28.41
27.3;28.69
27.22;28.69
27.36;28.88
27.63;28.39
28.07;28.27
28.17;28.27
28.07;27.8
27.91;27.6
27.86;27.26
27.95;26.83
27.7;26.57
27.47;27.21
27.11;27.4
27.1;27.33
27.08;26.85
26.89;26.57
26.91;27.67
26.66;27.25
26.61;27.83
26.61;27.95
26.73;27.99
26.77;27.71
26.86;27.37
26.87;27.04
26.81;27.37
26.79;27.84
26.67;27.53
26.79;27.51
26.73;27.25
26.42;27.5
26.49;27.1
26.6;26.91
26.63;27.35
26.53;26.33
26.33;26.21
26.29;26.11
26.32;26.45
26.25;26.85
26.14;27.33
26.16;27.44
26.24;27.3
26.4;27.6
26.28;27.86
26.54;28.23
26.85;28.29
26.77;28.58
26.94;28.29
27.0;29.05
26.99;29.22
27.28;29.04
27.62;29.42
27.78;30.27
27.95;30.15
28.24;29.92
28.33;30.33
28.43;29.95
28.74;30.36
29.03;30.52
28.99;30.45
29.23;30.29
29.38;29.74
29.31;29.36
29.66;29.32
29.69;28.99
29.37;29.35
29.19;29.54
29.15;29.49
29.02;29.31
29.12;29.05
29.03;28.95
28.92;29.97
28.89;30.09
28.98;28.8
29.06;28.95
28.83;29.51
28.72;29.02
28.82;29.0
28.74;29.6
28.55;29.36
28.61;28.88
28.43;28.74
28.32;28.69
28.39;27.86
28.15;28.26
27.86;28.11
27.9;28.34
27.72;27.51
27.41;27.54
27.28;27.22
27.45;27.09
27.36;26.79
27.18;26.96
26.92;26.24
26.57;26.13
26.39;25.77
26.39;25.82
26.08;25.47
25.76;25.39
25.63;25.67
25.37;26.55
25.1;27.22
25.3;26.96
25.61;26.6
25.55;26.53
25.62;27.17
25.68;27.06
25.67;27.13
25.6;26.61
25.83;26.97
25.83;27.63
25.9;26.48
26.06;26.24
26.01;26.49
25.72;27.31
25.72;27.41
26.05;26.97
26.11;27.94
25.97;28.61
26.22;28.06
26.7;27.69
27.07;28.2
27.01;28.35
26.89;27.99
27.29;27.7
27.57;27.76
27.57;27.77
27.3;28.09
27.15;27.57
27.33;27.66
27.29;27.71
27.03;28.43
27.03;28.22
27.33;28.3
27.38;28.36
27.4;27.51
27.33;27.36
27.42;28.72
27.42;28.29
27.4;28.59
27.52;28.74
27.65;29.01
27.93;28.23
27.99;28.36
27.63;28.08
27.72;29.17
27.79;30.0
27.61;28.71
27.97;28.38
28.13;27.72
27.79;28.33
27.76;28.57
28.01;25.94
27.82;26.77
27.41;26.76
26.99;26.14
26.83;25.77
26.87;24.65
26.45;23.18
25.88;22.4
25.3;20.76
24.6;20.1
24.03;23.31
22.8;22.4
22.56;20.39
23.16;21.17
22.38;21.59
21.46;23.16
21.54;22.08
21.57;20.11
21.71;20.41
21.61;19.72
20.54;18.64
20.21;20.86
20.05;20.91
19.31;22.1
19.61;22.6
20.01;21.84
20.18;22.7
20.25;21.14
19.95;19.9
20.52;20.38
20.76;19.26
19.93;19.0
19.34;17.59
19.03;18.89
18.92;18.39
19.67;17.22
19.33;18.03
18.6;17.4
18.66;16.34
18.04;18.42
17.82;19.37
18.03;19.22
18.11;19.63
18.14;19.65
18.03;17.74
18.56;18.72
18.82;19.14
18.49;19.01
18.89;19.86
18.84;21.74
18.42;20.53
19.04;20.68
18.88;20.21
18.66;20.02
19.48;20.16
19.3;21.06
19.12;20.88
19.72;20.21
19.84;19.86
19.69;19.42
20.15;19.35
20.37;19.47
19.7;19.64
19.61;19.01
20.09;19.9
19.73;20.09
19.82;21.18
20.15;20.81
20.02;21.53
19.88;20.52
20.48;20.28
20.33;19.75
20.19;19.36
20.45;18.77
20.38;18.42
19.8;18.91
19.63;19.0
19.21;17.92
18.7;18.8
18.73;18.57
18.88;18.25
18.84;18.47
18.67;18.82
18.44;19.73
18.28;18.82
18.55;18.31
18.76;17.89
18.87;18.26
18.48;16.82
18.49;16.57
18.32;17.22
17.88;17.21
17.59;16.61
17.54;16.38
17.12;16.67
16.82;16.4
16.68;15.8
16.51;15.61
16.45;15.66
16.34;15.52
16.08;15.03
16.06;15.87
16.04;15.37
16.01;14.93
15.78;14.85
15.51;14.21
15.56;14.49
15.3;15.0
15.04;14.16
14.89;14.02
14.83;13.8
14.5;14.71
14.21;14.69
14.26;15.43
14.34;15.17
14.67;15.24
14.72;15.78
14.75;16.04
15.05;15.67
15.16;15.45
15.07;16.75
15.2;16.19
15.58;16.41
15.6;16.88
15.56;16.46
15.84;15.81
16.23;16.08
16.12;16.64
16.09;17.89
16.1;17.71
16.15;17.37
16.69;16.93
17.19;17.14
16.88;17.6
17.08;17.29
17.29;16.84
17.26;17.47
17.36;18.16
17.49;18.05
17.6;17.19
17.66;17.24
17.67;17.18
17.58;17.38
17.62;17.94
17.6;17.48
17.55;17.28
17.34;18.6
17.57;19.39
18.05;19.43
18.13;20.24
18.06;20.5
18.43;22.91
19.06;22.43
19.85;22.54
20.34;21.88
20.6;21.53
20.6;20.9
20.91;20.79
21.04;20.73
20.72;21.44
20.6;21.09
20.89;20.85
21.08;20.57
21.1;20.99
20.78;21.73
20.79;21.14
21.07;21.24
21.24;21.45
21.35;22.16
21.19;22.25
21.53;22.21
21.95;22.26
22.09;22.09
22.02;22.43
22.16;22.43
22.07;22.22
22.13;22.34
21.92;22.19
21.93;21.47
21.93;20.8
21.46;20.97
21.02;21.0
20.99;20.83
21.15;20.06
21.22;20.26
20.99;20.28
20.65;20.85
20.56;20.75
20.7;20.95
20.77;20.66
20.65;20.76
20.65;20.22
20.69;20.44
20.5;19.95
20.42;19.69
20.31;19.95
20.16;19.84
19.9;20.1
19.73;20.46
19.64;21.32
19.69;21.95
20.07;21.7
20.21;22.46
20.23;22.31
20.47;22.47
20.83;23.73
21.12;23.54
21.56;23.42
21.86;23.35
22.06;22.92
22.19;23.22
22.48;22.24
22.52;22.6
22.44;22.7
22.42;22.38
22.23;22.46
22.24;23.63
22.27;23.41
22.33;22.93
22.67;23.22
22.88;23.25
22.86;22.9
22.99;22.22
22.99;22.31
22.97;22.56
22.95;22.92
22.72;23.72
22.74;23.73
22.74;23.79
22.71;23.91
23.01;23.92
23.13;23.77
23.11;23.06
23.09;22.74
22.79;22.49
22.76;22.53
22.62;22.93
22.58;23.27
22.55;23.86
22.49;25.11
22.9;25.16
23.35;24.86
23.46;25.05
23.58;25.12
23.84;25.2
24.0;25.18
24.07;24.79
24.17;25.13
24.21;24.86
24.24;24.77
24.48;24.46
24.71;25.0
24.42;24.74
24.34;24.31
24.43;24.23
24.19;24.09
24.02;24.5
23.93;24.95
23.96;24.94
24.17;25.39
24.32;25.36
24.43;25.36
24.67;25.16
24.96;25.6
25.0;25.88
24.92;26.03
24.95;26.45
24.97;25.99
25.0;25.88
25.02;26.07
25.11;25.58
25.21;25.37
25.28;24.94
25.02;24.12
24.83;24.92
24.72;24.23
24.6;24.27
24.51;24.46
24.41;24.82
24.24;25.68
24.34;25.29
24.51;25.68
24.62;25.78
24.82;25.93
24.97;25.72
25.08;26.95
25.06;27.18
25.1;27.33
25.41;27.16
25.75;26.75
25.92;26.57
26.03;26.99
25.77;26.77
25.85;27.1
25.99;26.87
25.86;26.76
25.88;27.21
26.03;27.26
26.02;26.86
26.35;27.31
26.44;27.45
26.42;27.17
26.78;27.18
26.73;28.03
26.74;28.39
26.99;28.51
27.29;28.82
27.37;29.05
27.44;28.6
27.58;28.62
27.79;29.02
27.94;28.94
28.03;29.05
27.99;28.92
27.9;28.58
27.94;29.0
27.98;28.91
28.02;28.88
28.26;28.72
28.27;28.65
28.13;28.5
28.23;28.51
28.12;28.55
28.04;28.09
28.24;27.6
28.07;28.03
27.79;27.78
27.84;27.41
27.74;27.77
27.5;27.94
27.51;27.42
27.61;26.85
27.32;26.8
26.93;26.57
26.79;26.26
26.59;26.29
26.4;26.47
26.32;26.44
26.08;26.85
25.86;27.54
26.03;26.57
26.15;26.46
26.07;26.4
25.99;26.73
25.88;26.9
25.84;27.01
25.83;26.93
25.92;27.29
25.92;27.64
25.99;27.78
26.26;27.97
26.29;27.87
26.34;27.69
26.75;28.11
26.78;28.09
26.68;27.98
26.83;28.25
26.89;28.55
26.98;28.34
27.29;29.17
27.43;29.75
27.46;29.73
27.88;29.83
28.31;29.85
28.54;30.28
28.58;30.17
28.69;30.2
28.82;30.23
29.05;30.23
29.27;30.26
29.36;30.13
29.47;30.41
29.47;30.46
29.5;30.8
29.66;31.43
29.8;31.63
29.92;31.49
30.05;31.44
30.27;31.27
30.41;31.84
30.57;31.54
30.73;31.77
30.71;31.63
30.79;31.95
30.96;32.44
31.11;32.15
31.16;32.1
31.26;32.42
31.23;32.6
31.26;32.09
31.42;32.4
31.4;32.73
31.37;32.75
31.51;32.94
31.69;32.95
31.82;33.18
31.93;32.53
31.92;32.5
32.02;33.34
32.17;33.0
32.15;33.64
32.08;32.77
32.21;31.65
32.16;30.46
31.97;29.92
31.5;31.61
31.09;32.03
31.0;31.46
30.96;31.12
31.02;30.51
30.76;30.63
30.61;30.21
30.59;29.91
30.24;28.65
30.02;29.44
29.63;29.09
29.28;28.95
29.1;29.62
28.85;30.78
28.81;29.93
29.16;29.85
29.11;31.12
28.78;31.09
28.88;30.17
29.07;29.59
29.37;29.69
29.41;29.5
28.8;30.55
28.35;30.67
28.62;30.39
29.17;31.34
29.29;31.16
29.52;31.41
29.91;31.48
29.52;31.4
29.56;30.77
29.98;30.76
30.01;30.09
29.92;29.99
29.95;29.75
29.6;28.93
29.64;28.21
29.97;28.2
29.27;28.11
28.62;28.41
